param,F1,F2,F3,error,file_name,id,group,label
0,329.2072938859266,1174.1099400289847,1722.4417601674947,0.00017729268798677382,josef-fruehwald_speaker,0-0-3-4,group_0,ay0
1,38.07940548490419,-148.8924534014897,71.29706373540827,0.00017729268798677382,josef-fruehwald_speaker,0-0-3-4,group_0,ay0
2,4.739412519559189,-5.3269151931654655,44.04532875268768,0.00017729268798677382,josef-fruehwald_speaker,0-0-3-4,group_0,ay0
3,2.288106112396977,-15.144585147328122,0.3312772844509735,0.00017729268798677382,josef-fruehwald_speaker,0-0-3-4,group_0,ay0
4,-6.146204097708978,1.9535067025275543,-3.0305538854001655,0.00017729268798677382,josef-fruehwald_speaker,0-0-3-4,group_0,ay0
0,322.67434373158005,1162.4207359177817,1489.860815830121,0.00003294582218932858,josef-fruehwald_speaker,0-0-4-3,group_0,ay0
1,34.537605738433506,-89.80131053274377,-40.96682723952887,0.00003294582218932858,josef-fruehwald_speaker,0-0-4-3,group_0,ay0
2,-3.7996770667226203,2.847692365865683,-7.528151605523991,0.00003294582218932858,josef-fruehwald_speaker,0-0-4-3,group_0,ay0
3,0.7572708609732351,-5.878569605281127,5.688804493541107,0.00003294582218932858,josef-fruehwald_speaker,0-0-4-3,group_0,ay0
4,-1.2667546333701423,-2.656510308625121,-1.394497522838646,0.00003294582218932858,josef-fruehwald_speaker,0-0-4-3,group_0,ay0
0,252.9672263121331,1371.4201873619986,1485.3899241991894,0.0008019759866412806,josef-fruehwald_speaker,0-0-5-1,group_0,ey
1,29.657776534448626,-76.92324925100296,-77.1730088841805,0.0008019759866412806,josef-fruehwald_speaker,0-0-5-1,group_0,ey
2,8.643865372693252,-6.121355089379256,-0.5454987736502813,0.0008019759866412806,josef-fruehwald_speaker,0-0-5-1,group_0,ey
3,1.3479359274602951,1.4098964543402186,11.712652548328112,0.0008019759866412806,josef-fruehwald_speaker,0-0-5-1,group_0,ey
4,-1.7530792368907309,-8.487397203281867,12.713855899260613,0.0008019759866412806,josef-fruehwald_speaker,0-0-5-1,group_0,ey
0,430.8132643325742,878.2585216085811,1564.4230224252308,0.00010499145139705035,josef-fruehwald_speaker,0-0-5-5,group_0,o
1,-2.1058015140309116,19.400347427875573,-77.42383702460648,0.00010499145139705035,josef-fruehwald_speaker,0-0-5-5,group_0,o
2,-3.86457228777567,-0.5820880539561164,19.030821090650722,0.00010499145139705035,josef-fruehwald_speaker,0-0-5-5,group_0,o
3,-2.397277823222168,1.8765417712555126,-12.924314666857043,0.00010499145139705035,josef-fruehwald_speaker,0-0-5-5,group_0,o
4,0.43022325327497524,-2.7269383450060793,-3.1221467416530175,0.00010499145139705035,josef-fruehwald_speaker,0-0-5-5,group_0,o
0,259.0459025936309,1435.8626672334015,1778.7324020813699,0.0006776971571850365,josef-fruehwald_speaker,0-0-7-1,group_0,iyF
1,2.1044925808442194,-32.21353659180296,-23.569821019707508,0.0006776971571850365,josef-fruehwald_speaker,0-0-7-1,group_0,iyF
2,-5.116350274316577,-11.459450548485153,4.2908070821874915,0.0006776971571850365,josef-fruehwald_speaker,0-0-7-1,group_0,iyF
3,-1.9886300697449608,-2.7373663625280495,16.667537020296457,0.0006776971571850365,josef-fruehwald_speaker,0-0-7-1,group_0,iyF
4,-3.7245298754638156,-0.9780803301896778,8.251800536371718,0.0006776971571850365,josef-fruehwald_speaker,0-0-7-1,group_0,iyF
0,326.6376634529043,1426.3816610507404,1759.6412763937076,0.0005300980078959518,josef-fruehwald_speaker,0-0-8-0,group_0,eR
1,-23.320946469366344,27.11770697159067,33.1103602399467,0.0005300980078959518,josef-fruehwald_speaker,0-0-8-0,group_0,eR
2,0.7368783149336484,4.0403753343232705,-6.190680623933732,0.0005300980078959518,josef-fruehwald_speaker,0-0-8-0,group_0,eR
3,-5.511414988167333,8.91941283753624,7.385863691534762,0.0005300980078959518,josef-fruehwald_speaker,0-0-8-0,group_0,eR
4,-5.433999677596964,-4.701393305468105,-8.0440299076876,0.0005300980078959518,josef-fruehwald_speaker,0-0-8-0,group_0,eR
0,458.3092991883915,1184.435405599618,1671.7313255185838,0.0006852341838258426,josef-fruehwald_speaker,0-0-11-0,group_0,ae
1,-36.94414155652534,59.407148583382956,28.29446496482947,0.0006852341838258426,josef-fruehwald_speaker,0-0-11-0,group_0,ae
2,-22.47504452480626,20.691750067475,-4.312226476020961,0.0006852341838258426,josef-fruehwald_speaker,0-0-11-0,group_0,ae
3,1.445288786672412,-1.1095074355140584,15.382823403653758,0.0006852341838258426,josef-fruehwald_speaker,0-0-11-0,group_0,ae
4,-1.311994294494586,9.03286484084451,6.21128845066379,0.0006852341838258426,josef-fruehwald_speaker,0-0-11-0,group_0,ae
0,286.9748097242493,1143.5403107279533,1644.483643317657,0.000015111853253293133,josef-fruehwald_speaker,0-0-14-2,group_0,i
1,10.247379285225797,-0.18099565066508672,-72.07367707090279,0.000015111853253293133,josef-fruehwald_speaker,0-0-14-2,group_0,i
2,-2.651582050258576,-11.005812228855566,14.88188572358769,0.000015111853253293133,josef-fruehwald_speaker,0-0-14-2,group_0,i
3,-0.0648364564236252,-0.46049657634194197,-13.894637582519305,0.000015111853253293133,josef-fruehwald_speaker,0-0-14-2,group_0,i
